Spain
1020 1014 1023 1024 1000 1003 1019 1036 1020 1011 1163 1010
1020 1014 1023 1024 1000 1003 1019 1036 1020 1011 1163 1010
21 4 10 6 10 6 29 14 4 11 13 14
40 15 45 19 39 23 46 29 19 21 26 37
10 13 17 12 7 11 6 17 15 15 11 11
2 4 3 4 0 3 1 1 6 4 5 3
9 14 7 29 20 23 5 8 15 19 13 9
17 50 17 31 24 34 12 31 40 30 32 26
74 38 67 36 64 44 86 62 39 45 58 68
Great Britain
1020 1014 1023 1024 1000 1003 1019 1036 1020 1011 1163 1010
1020 1014 1023 1024 1000 1003 1019 1036 1020 1011 1163 1010
21 5 8 15 2 10 13 8 5 15 20 16
45 17 47 32 11 41 39 26 24 32 33 50
16 14 23 12 14 12 9 21 14 11 11 12
4 6 5 3 5 2 2 3 7 3 4 2
7 11 7 19 28 13 12 11 15 16 10 6
8 47 10 19 40 22 26 32 35 23 23 14
71 43 61 58 20 65 70 50 44 61 68 76
France
1020 1014 1023 1024 1000 1003 1019 1036 1020 1011 1163 1010
1020 1014 1023 1024 1000 1003 1019 1036 1020 1011 1163 1010
22 10 16 13 13 9 25 21 10 29 20 20
38 27 49 23 47 33 42 37 37 29 31 48
13 11 16 13 12 12 6 15 14 10 10 10
5 3 3 3 2 3 1 2 5 2 4 2
7 9 5 25 14 16 7 7 10 11 9 6
15 41 11 24 13 27 18 18 24 19 26 14
70 63 73 46 68 58 82 71 62 72 70 79
Germany
1020 1014 1023 1024 1000 1003 1019 1036 1020 1011 1163 1010
1020 1014 1023 1024 1000 1003 1019 1036 1020 1011 1163 1010
12 6 9 6 5 4 8 10 7 13 11 9
38 17 47 20 27 17 29 36 31 25 19 37
15 12 19 12 11 13 10 19 13 14 11 13
4 4 3 4 1 4 2 1 6 3 4 3
10 12 7 29 25 24 14 8 12 18 16 9
21 49 14 29 31 39 37 26 31 26 39 29
63 45 65 37 46 35 59 62 54 51 49 64
Italy
1020 1014 1023 1024 1000 1003 1019 1036 1020 1011 1163 1010
1020 1014 1023 1024 1000 1003 1019 1036 1020 1011 1163 1010
56 8 23 28 31 18 42 31 16 26 34 39
32 26 52 32 46 44 42 44 42 35 33 44
6 12 12 10 4 11 5 13 13 10 8 7
1 3 2 3 1 2 1 2 5 3 3 2
3 9 4 13 8 9 3 2 7 10 6 2
3 42 7 14 10 16 7 8 16 16 16 7
90 59 81 70 85 74 90 81 69 72 80 89
Denmark
1020 1014 1023 1024 1000 1003 1019 1036 1020 1011 1163 1010
1020 1014 1023 1024 1000 1003 1019 1036 1020 1011 1163 1010
8 5 4 4 1 4 5 5 3 9 6 4
18 9 20 14 4 15 24 16 13 19 17 22
9 13 18 10 4 11 9 16 14 15 12 10
2 5 4 4 1 4 2 1 9 4 5 3
18 13 13 33 30 25 17 13 17 22 17 15
44 54 42 35 59 41 44 49 45 31 43 46
47 32 40 28 14 33 51 39 29 40 41 48
Norway
1020 1014 1023 1024 1000 1003 1019 1036 1020 1011 1163 1010
1020 1014 1023 1024 1000 1003 1019 1036 1020 1011 1163 1010
6 4 4 4 1 4 4 5 3 7 6 3
13 10 20 11 5 14 21 15 13 18 15 21
8 12 16 10 4 12 9 16 13 16 12 9
3 5 5 4 1 3 2 1 7 4 5 3
20 14 13 36 29 25 17 12 19 23 18 15
51 55 42 35 60 42 46 50 45 32 45 49
39 31 42 23 17 31 47 41 30 36 38 48
Finland
1020 1014 1023 1024 1000 1003 1019 1036 1020 1011 1163 1010
1020 1014 1023 1024 1000 1003 1019 1036 1020 1011 1163 1010
5 4 3 4 1 3 4 4 2 8 7 2
12 9 18 10 4 12 21 11 11 19 15 15
8 13 18 12 4 12 9 16 13 14 12 10
3 5 4 4 1 4 2 1 7 3 5 3
19 14 13 34 28 27 17 13 19 24 17 15
53 55 42 36 61 42 47 54 47 32 44 56
37 30 38 23 14 26 47 33 26 39 39 37
Sweden
1020 1014 1023 1024 1000 1003 1019 1036 1020 1011 1163 1010
1020 1014 1023 1024 1000 1003 1019 1036 1020 1011 1163 1010
6 4 6 5 2 5 6 7 2 9 10 6
19 12 27 13 6 18 22 20 14 19 19 35
7 12 19 11 5 12 10 16 15 15 11 12
3 6 3 3 1 3 2 1 7 4 4 2
19 14 13 34 29 24 16 12 18 22 16 11
46 53 33 34 57 38 44 43 44 31 40 34
47 34 48 27 18 36 50 49 29 40 48 63
Greece
1020 1014 1023 1024 1000 1003 1019 1036 1020 1011 1163 1010
1020 1014 1023 1024 1000 1003 1019 1036 1020 1011 1163 1010
27 4 5 3 2 4 8 6 1 7 9 6
42 11 26 15 8 15 28 20 11 15 19 24
11 12 19 12 5 12 11 16 14 17 12 14
3 4 5 4 1 3 3 1 9 5 5 6
6 14 11 33 30 26 14 11 17 24 17 12
11 55 36 33 55 41 37 46 48 31 39 38
77 32 47 27 22 31 57 48 23 32 46 49
Turkey
1020 1014 1023 1024 1000 1003 1019 1036 1020 1011 1163 1010
1020 1014 1023 1024 1000 1003 1019 1036 1020 1011 1163 1010
20 6 4 19 4 9 8 7 3 10 13 13
30 17 27 33 16 33 31 21 15 22 24 33
9 11 21 9 6 13 11 19 15 17 10 17
3 5 7 3 1 3 4 2 10 5 6 4
8 10 9 16 24 13 10 9 13 15 12 7
28 51 33 19 49 29 36 42 45 31 35 26
71 47 45 65 39 58 61 49 32 47 56 63
Morocco
1020 1014 1023 1024 1000 1003 1019 1036 1020 1011 1163 1010
1020 1014 1023 1024 1000 1003 1019 1036 1020 1011 1163 1010
15 4 4 8 1 6 5 5 2 5 10 7
28 10 18 19 4 22 22 14 10 10 20 18
9 11 17 12 3 12 10 13 13 19 11 11
3 5 7 4 1 3 4 2 9 6 5 4
12 12 10 27 22 19 14 9 14 20 14 11
33 58 45 31 68 37 45 56 51 39 42 49
65 34 38 39 16 45 50 44 25 26 50 49
Lebanon
1020 1014 1023 1024 1000 1003 1019 1036 1020 1011 1163 1010
1020 1014 1023 1024 1000 1003 1019 1036 1020 1011 1163 1010
22 4 3 6 1 5 4 4 2 5 15 7
33 9 14 15 2 22 18 10 8 11 21 19
10 12 18 13 3 13 13 14 12 18 11 10
4 6 7 3 1 4 6 2 11 7 6 5
8 12 11 30 22 19 13 11 15 21 13 10
23 58 47 32 71 36 46 59 52 39 34 50
71 31 31 32 13 43 40 35 22 26 54 50
